Geneid	Length	SRR10758340	SRR10758341	SRR10758342	SRR10758343	SRR10758344	SRR10758345	SRR10758346	SRR10758347	SRR10758348	SRR10758349	SRR22746225	SRR22746226	SRR22746227	SRR22746228	SRR8508226	SRR8508227	SRR8508228	SRR8508229	SRR8508230	SRR8508231	SRR8508232	SRR8508233	SRR5877048	SRR5877049	SRR5877050	SRR5877051	SRR5877052	SRR5877053	SRR5877054	SRR5877055	SRR5877056	SRR5877057	SRR5877058	SRR5877059	SRR5877060	SRR5877061	SRR6715625	SRR6715626	SRR6715627	SRR6715628	SRR6715629	SRR6715630
EQU24_RS00080	987	48	65	83	32	322	230	303	233	83	152	1335	971	1012	1000	370	382	354	333	265	421	441	227	1562	1649	536	338	373	446	693	577	322	558	419	189	402	423	365	237	349	1008	715	667
EQU24_RS00085	783	121	163	311	97	301	212	427	166	200	659	3332	2564	2414	2158	1063	1259	1086	1482	611	1011	1207	865	5249	4411	2520	1884	1265	1450	2134	1483	1385	2010	2618	1593	1769	1109	1279	827	731	3862	3281	2175
EQU24_RS00090	834	305	410	732	291	771	560	795	531	513	1390	6927	4969	5445	5509	3455	2847	3251	2473	3312	4977	4242	2205	9146	8317	3815	2598	2544	3104	4483	3382	2243	3858	2932	2238	2245	2961	2389	1198	1263	5618	4255	3631
EQU24_RS00095	531	329	537	377	271	821	602	394	278	628	2051	6497	4651	5158	5603	5231	3192	5239	2929	4954	8214	7091	2146	6553	6028	2530	1748	1815	2502	3752	2837	1777	2967	2797	2166	2189	4717	1728	1196	1033	5001	3790	3438
EQU24_RS00100	480	80	186	272	45	210	138	268	219	133	331	2012	1625	1325	1473	557	823	613	946	326	512	612	620	8400	8194	2715	1930	937	1602	2263	2523	1144	2635	986	752	1150	1254	1745	996	598	3741	2589	2443
EQU24_RS00105	654	72	110	171	27	158	117	172	104	72	496	1524	1071	899	946	1211	1691	1501	2192	638	1155	1373	1219	18161	17801	5437	3980	1693	3345	4970	6285	2577	6543	1505	1806	2321	2222	2030	1650	691	10820	6536	6050
EQU24_RS00110	417	172	236	70	40	199	124	76	58	130	535	3874	2711	2359	2106	883	1053	967	1288	440	735	840	704	9914	6216	5777	4572	4408	5073	6877	5657	4441	6436	2974	1663	4504	2535	1801	1308	892	10714	7323	6398
EQU24_RS00115	792	1831	1668	468	595	826	489	397	180	751	2488	15158	10282	8588	7355	2160	2708	2219	3596	1143	1812	2062	1916	29166	23961	12209	9282	8005	13148	16675	15316	8217	16136	5833	6609	8222	5989	4787	3391	2334	24092	16873	16011
EQU24_RS22165	2361	601	1388	674	583	1903	1504	640	524	1550	1466	42153	34270	36227	31035	2904	2945	2426	2489	1885	2887	3433	1927	19592	18588	6231	4408	1958	2669	3969	3651	2178	3685	7254	5790	4028	4266	3166	1879	1357	5328	3556	3251
EQU24_RS00125	1323	911	1825	1483	820	1506	1277	1310	809	1721	1373	90998	73717	71587	53751	4262	5306	3518	3597	1950	3123	4516	2961	19191	17235	6906	5011	2606	3803	5843	4577	2629	4878	9517	15548	6567	4796	2624	1810	1353	6370	4444	4226
EQU24_RS00130	369	46	59	274	43	132	114	304	188	126	84	3039	2195	3130	2601	282	233	211	189	161	219	274	117	895	792	315	180	152	232	337	247	137	273	481	268	275	289	197	116	103	386	266	227
EQU24_RS00135	774	89	107	462	67	210	168	567	442	176	119	4176	3232	3418	2967	489	484	421	400	406	540	666	290	2586	2438	871	547	552	731	971	735	380	721	1044	632	542	475	799	331	390	971	747	684
EQU24_RS00140	591	62	82	270	68	197	153	368	222	104	94	2415	1855	1976	1703	342	341	358	288	278	430	471	203	933	878	337	252	184	247	382	280	152	251	568	520	295	278	245	101	88	373	292	239
EQU24_RS00145	303	11	20	75	11	63	38	143	106	41	45	313	224	314	285	83	86	65	50	59	68	86	71	229	195	85	47	35	57	89	66	46	47	194	133	82	77	45	44	24	108	81	65
EQU24_RS00150	1542	45	98	296	57	184	168	561	397	166	178	3072	2279	2404	1905	423	424	460	339	365	471	528	254	1062	936	393	253	169	258	433	326	174	305	857	600	353	282	241	133	157	582	380	344
EQU24_RS00155	312	12	42	37	10	59	27	74	58	50	43	1647	1154	1262	1115	206	204	168	106	128	173	210	95	467	432	142	95	68	114	152	138	63	135	333	182	130	128	111	61	58	239	143	135
EQU24_RS00160	297	222	482	147	374	410	415	242	188	1573	298	33672	25923	38637	30505	1743	1336	1402	740	1484	1765	2292	730	4384	4151	1223	875	190	520	746	593	169	679	3311	2597	1404	1391	214	152	99	771	484	413
EQU24_RS00165	297	21	19	73	12	55	54	126	131	38	35	641	436	559	395	122	144	101	94	92	118	140	95	311	271	113	93	52	67	120	80	36	87	101	89	74	76	90	57	34	144	107	80
EQU24_RS00170	1302	64	108	208	66	135	106	385	363	99	181	1867	1329	1276	1196	398	464	368	452	259	447	463	256	1650	1636	623	370	396	572	815	672	299	613	448	635	387	372	364	190	228	875	619	581
EQU24_RS00175	279	6	14	21	8	46	26	75	59	23	42	401	310	317	228	76	82	52	69	46	59	85	42	284	240	131	63	88	109	191	122	46	131	168	121	137	175	52	40	60	146	138	108
EQU24_RS00180	1179	149	212	314	88	549	315	641	425	246	1165	4004	2726	3384	3059	485	533	521	644	376	533	582	410	2741	2553	962	727	442	739	964	972	523	1041	1463	588	668	780	620	419	331	1504	986	896
EQU24_RS00185	333	22	63	132	18	76	60	164	133	60	160	618	426	413	380	69	91	81	111	61	85	118	52	396	415	176	103	62	104	179	199	64	201	149	38	70	116	130	65	80	343	212	196
EQU24_RS00190	228	39	48	98	23	40	41	124	84	39	119	930	901	435	468	70	117	61	136	56	53	77	64	517	554	240	170	248	252	292	316	232	312	178	98	116	120	271	148	183	432	300	297
EQU24_RS00195	1068	51	103	540	50	173	124	693	473	112	342	3346	1710	1578	1450	261	328	208	289	158	222	261	195	4562	4544	1547	1040	599	990	1597	1847	823	1885	1108	418	601	643	997	621	648	3938	2525	2179
EQU24_RS00205	1581	619	997	997	555	1181	973	1185	991	628	1643	11156	7900	6898	6242	1886	2360	1992	2921	1129	1816	2716	1747	15092	15191	6093	3566	2892	3806	6303	6298	3523	6372	4628	3097	2928	3135	3389	1882	1907	8779	6272	5888
EQU24_RS00210	930	76	116	54	82	791	369	98	41	220	612	2853	1990	2520	2280	900	759	685	577	696	998	777	582	1609	1414	600	449	288	490	631	610	336	667	627	309	472	785	537	438	312	1119	829	731
EQU24_RS00215	210	204	321	53	217	490	285	99	49	158	379	943	676	713	640	392	388	348	312	218	329	420	261	1117	839	469	372	196	197	303	323	243	313	338	369	214	264	257	121	78	511	423	363
EQU24_RS00225	309	139	205	194	105	364	281	247	155	220	570	6170	4233	4274	4069	971	1179	906	1369	624	869	1203	780	5448	4738	2046	1266	1416	1889	2821	2665	1600	2625	1751	812	1067	1170	1871	834	1368	3208	2690	2495
EQU24_RS00230	222	158	252	282	204	410	352	408	178	248	859	1894	1561	1512	1583	938	1140	894	1157	545	851	1036	844	3590	2968	1487	1126	765	1049	1591	1558	1025	1624	1209	657	687	781	1082	711	611	2467	1850	1631
EQU24_RS00245	942	52	70	354	35	218	168	399	302	149	318	2678	1589	1745	1802	319	387	301	404	205	329	397	316	2049	1899	691	433	580	795	1188	897	630	984	523	198	374	365	547	244	272	1301	1020	912
EQU24_RS00250	291	36	29	105	20	86	47	150	100	35	81	1180	1727	920	931	160	172	133	129	116	162	194	97	618	557	171	118	96	172	246	212	99	190	1950	350	102	103	142	61	56	352	248	198
EQU24_RS00255	291	51	44	59	39	129	79	64	43	69	98	2309	3305	1850	1969	303	320	250	247	244	318	355	190	904	893	287	204	98	241	315	332	127	280	2038	440	182	155	186	86	111	492	356	315
EQU24_RS00260	291	118	149	136	104	312	201	145	110	193	252	3963	5029	3124	3348	595	643	543	548	467	695	773	473	1352	1274	445	302	191	338	509	435	213	479	2185	501	271	254	246	147	115	615	453	385
EQU24_RS00265	2676	325	593	670	368	839	768	907	563	474	651	8474	6490	5536	5045	1647	1961	1585	1801	998	1531	2177	1254	4889	4483	1766	1201	968	1174	2056	1843	1077	1775	1937	1593	1193	1348	1331	710	643	2626	1894	1657
EQU24_RS00270	666	156	195	175	120	617	344	266	158	168	787	2705	1866	2107	1858	1030	1258	919	1119	632	976	1133	951	4554	4354	1601	1054	556	1025	1523	1522	739	1590	1223	599	673	787	1070	710	687	2357	1590	1459
EQU24_RS00275	729	212	331	361	228	634	441	358	197	247	728	3151	2463	2127	1976	1186	1352	1134	1368	728	1106	1460	958	4163	3920	1585	1004	813	1134	1871	1665	991	1724	1239	1295	803	904	838	473	416	2447	1921	1826
EQU24_RS00280	2139	348	473	964	341	802	661	1190	703	486	1066	4138	3037	2980	2665	1539	1723	1390	1797	927	1319	1797	1199	6731	6252	2279	1423	1323	1794	2874	2446	1413	2516	1957	1109	1228	1443	1858	1045	975	3289	2796	2520
EQU24_RS00285	1635	251	434	579	220	675	517	702	427	355	733	6747	4726	4793	4290	1036	1267	1123	1480	691	1141	1552	1029	5762	5353	2517	1637	1354	1790	2779	2229	1269	2431	1853	1382	1353	1286	1626	846	863	3329	2442	2299
EQU24_RS00290	483	72	171	117	95	315	208	131	89	163	464	2037	1367	1408	1230	345	387	403	563	186	315	620	245	2308	2249	841	584	344	594	835	866	438	921	772	545	587	560	389	279	210	1390	905	871
EQU24_RS00300	5121	1073	1489	2034	1240	2175	1637	3373	1892	1226	3155	9442	6777	7742	7019	4432	4499	4064	4904	3287	4522	5481	3221	9834	8994	3922	2492	3618	5245	7863	7073	3882	7296	7680	5681	4727	5534	2610	1715	1893	8734	6372	5816
EQU24_RS00305	405	214	369	570	314	1010	689	976	583	266	676	1213	827	934	833	1652	1923	1363	1521	1128	1549	1724	1528	1575	1403	600	428	1068	1918	2912	3230	1371	3337	2871	1470	1635	1830	363	254	225	3002	2331	2278
EQU24_RS00310	2160	793	1533	1914	785	1396	1063	3170	2518	687	1554	10299	6846	7800	6892	3712	4387	3745	4190	2228	3429	4442	3309	7656	7298	3010	1851	4763	6383	10071	9511	5832	9653	11188	5923	6498	6626	1943	1025	1266	8956	7739	7137
EQU24_RS00315	591	98	171	138	63	322	221	236	161	193	720	2527	1778	2078	1796	783	840	865	1079	354	658	964	486	6038	5608	1875	1295	838	1203	1663	1853	1035	1797	2603	815	1303	1449	998	636	584	2462	1821	1655
EQU24_RS00320	258	488	626	83	256	443	270	93	77	317	1006	2375	1806	2112	1791	823	1054	653	893	422	688	736	653	2943	2334	1424	1003	688	1278	1692	1789	867	1802	1493	1118	1079	865	580	640	448	3295	2102	1941
EQU24_RS00330	1254	768	1164	414	601	1166	693	673	412	861	1954	4665	3189	4093	3484	996	1263	987	1318	585	906	1142	911	5661	3782	2365	1750	1750	2454	3170	2371	1664	2410	3053	1732	2051	1620	1233	964	535	3932	3041	2914
EQU24_RS00335	990	662	1204	78	576	953	542	129	25	727	1535	3326	2347	3183	2488	1150	1384	1170	1082	562	927	849	1105	5232	2381	1764	1508	1275	2304	2936	2382	1298	2191	2253	1664	1581	1646	1120	889	460	3610	2645	2818
EQU24_RS00340	780	562	922	323	425	778	470	531	281	526	1122	2853	1955	2274	1889	810	979	756	985	401	614	795	704	5280	4372	2010	1491	1300	1918	2824	2363	1376	2336	1681	1601	1192	1211	1099	897	450	3762	2736	2702
EQU24_RS00345	903	864	1424	396	816	1200	584	659	388	804	1237	3117	2177	2529	1957	1143	1543	1024	1120	568	1005	886	1274	4372	2367	1746	1390	1314	1833	2558	1872	1507	1765	2069	1668	1219	1443	1120	539	312	2633	2178	2292
EQU24_RS00350	822	619	940	917	555	1091	719	1155	687	590	1454	4328	2990	3218	2925	1513	1909	1509	1952	955	1312	1768	1375	7790	6068	3500	2573	1877	2359	3579	3655	2664	4046	2756	2848	1699	1917	1598	1037	662	6180	4369	4093
EQU24_RS00355	1239	483	710	1799	364	819	592	2143	1459	483	1390	9681	6535	6317	5401	1780	2205	1867	2428	1125	1759	2380	1602	11872	9939	4868	3272	2314	3275	5303	5237	2956	5547	2923	2394	1776	2065	2211	1462	1287	7922	5992	5375
EQU24_RS00360	741	140	213	251	108	293	239	398	283	163	530	1932	1416	1525	1409	771	909	737	958	432	697	774	712	4841	4248	2105	1572	1257	1411	2228	2170	1574	2267	1594	942	936	1025	993	645	412	3276	2190	2101
EQU24_RS00365	927	397	562	484	258	465	299	643	362	399	720	6664	4587	4711	4144	1118	1331	1049	1484	718	965	1269	898	5363	4303	2738	2102	1578	1907	2599	2576	1998	2898	2894	2053	1563	1503	1324	1175	725	4441	3175	2748
EQU24_RS00370	192	358	287	167	200	377	256	237	139	221	392	1478	1193	1083	1148	509	619	497	795	332	494	712	398	2566	2802	1097	634	982	1171	1619	1654	1100	1584	665	427	511	534	1351	585	569	1892	1553	1367
EQU24_RS00375	1110	454	646	463	409	660	532	592	422	513	1192	6832	4726	4811	4282	1492	1587	1281	1756	848	1369	1720	1077	7578	6443	3717	2494	1848	2372	3524	3321	2316	3812	2812	2153	1883	1893	1957	1398	1107	5791	4472	3885
EQU24_RS00380	945	628	836	950	592	620	527	1158	735	608	1226	4868	3632	3800	3174	1340	1392	1331	1907	766	1141	1784	906	8647	7366	4498	2912	2321	3015	4643	4404	2858	5029	3277	2041	1949	2087	2067	1536	1352	6701	5413	4915
EQU24_RS00390	789	349	384	429	361	471	339	641	414	395	821	3947	2649	2614	2054	730	714	606	724	496	657	732	540	2152	1532	1274	910	648	873	1299	1009	789	1230	1334	983	752	555	511	438	239	2129	1626	1377
EQU24_RS00395	1557	502	638	1791	417	722	578	2522	2000	535	1224	5437	3748	3574	3309	1644	1911	1597	1883	1122	1711	1954	1410	7652	6700	3343	2236	1764	2733	3752	3608	1975	3758	2443	1721	1686	1839	1988	1358	1047	5571	3804	3541
EQU24_RS00400	1998	1009	1587	917	991	1727	1270	1148	830	1369	2716	6293	4678	4829	4184	3118	3045	2651	3153	2580	3381	3645	2192	13011	11318	5581	3747	3316	3957	5815	5267	3563	5573	4957	3140	2874	3181	3528	2047	1944	7348	5913	5325
EQU24_RS00405	906	720	1193	559	787	836	696	803	542	1036	1784	8823	6462	6629	5937	3154	3272	2863	3227	2344	3347	3307	2401	10165	8431	4823	3568	2537	3294	5053	5232	3477	5607	3475	3204	2628	3261	1999	1204	1094	8335	6176	5507
EQU24_RS00410	588	425	743	705	393	863	560	1070	787	611	1210	14850	10426	10852	9665	2973	3297	2668	3289	1727	2685	3086	2155	12247	10903	5206	3498	3255	4956	6549	6950	3833	7108	4236	1941	3601	3889	3089	3495	2827	9641	6970	6045
EQU24_RS00415	393	432	771	469	274	947	706	625	477	670	1363	9935	7166	5800	5207	4302	4755	3641	4518	2328	3587	4415	2712	21811	20498	8897	5544	4924	6690	9590	9681	5690	9233	6435	3710	5239	5224	6113	2613	2762	11004	9312	8468
EQU24_RS00420	1821	3763	4892	5541	2274	2705	2103	5537	4212	2960	9294	57000	40840	34305	29475	8778	10827	8972	11887	5537	8508	10048	6855	49510	43601	24840	16794	14026	18446	29982	28737	17967	29864	21161	20499	15090	11832	8341	4537	4121	46750	34132	31668
EQU24_RS00425	594	386	576	1543	255	897	608	1896	1471	437	1948	10827	7327	6271	5938	2454	3080	2490	3416	1269	2122	2836	1937	17073	15618	7269	4557	3502	6159	9675	9521	4213	9375	4667	3309	4241	3760	3176	1916	2545	14658	10691	10004
EQU24_RS00430	651	712	869	1665	371	601	433	1898	1446	585	2152	14274	9800	9037	8146	2206	2999	2221	3166	1176	2060	2426	2097	16750	16209	7207	4376	3587	6197	8771	8654	4211	8951	4986	3988	4278	3914	2841	1948	1781	14620	9850	9575
EQU24_RS00435	738	1393	2161	847	768	1105	934	1154	848	1309	3215	14566	10920	8902	7797	3039	4354	3194	5667	1913	2854	3997	3006	25387	20707	12741	8203	6612	9957	13230	13522	7776	15018	8295	8101	7395	5629	3587	2438	2219	26131	17949	16280
EQU24_RS00440	777	1181	1798	2620	860	691	647	2720	2300	1213	2810	9953	7541	5908	5378	2639	3490	2537	4356	1463	2171	3170	1933	21386	18393	10431	6292	7005	8006	12858	11534	8056	12165	7184	5573	5324	4789	3895	2180	2328	18386	14749	13814
EQU24_RS00445	390	183	353	303	205	198	177	423	269	319	780	4280	3124	3010	2498	617	754	579	960	375	504	751	472	5636	4326	2556	1661	1229	1945	2786	2493	1429	2828	1945	1331	1560	1231	697	440	344	4614	3456	3187
EQU24_RS00450	318	278	475	523	263	628	491	607	463	624	1087	3936	2619	2820	2454	1994	1846	1514	1797	2310	2772	2186	1337	4846	3786	2594	1963	1255	1854	2444	2024	1355	2422	2174	1250	1451	1590	907	635	514	4279	2852	2487
EQU24_RS00455	213	162	285	214	151	188	130	347	185	213	654	3193	2161	2442	1870	879	759	864	827	930	1357	1218	513	3974	2504	1344	1068	1205	1241	1791	1543	1358	1629	1720	1387	1280	1452	495	478	219	2683	2032	1949
EQU24_RS00460	306	164	279	264	126	285	198	362	315	287	686	4003	2998	2878	2780	1106	1019	1069	1225	943	1385	1449	530	7709	6659	2786	2123	2306	2896	3595	3767	2371	3742	2564	1638	1803	2449	1703	1247	907	4869	3860	3517
EQU24_RS00465	789	174	356	2893	148	293	238	4177	3042	423	1044	7416	4968	4790	4438	1914	1936	1892	1945	1775	2487	2148	1393	11219	10633	4042	2672	1804	2531	3289	3918	2362	3965	3159	1642	1805	3231	2314	1187	903	4749	3847	3579
EQU24_RS00470	618	139	321	1060	122	162	143	1455	1142	292	564	2558	1829	1956	1808	1019	1075	1021	1286	972	1180	1399	957	5070	4453	1907	1291	834	990	1403	2194	1384	2338	1958	904	893	1595	990	564	485	2787	2211	1950
EQU24_RS00475	732	229	392	560	225	263	177	1051	733	442	734	2304	1732	1859	1791	760	806	788	805	744	956	1065	721	6146	4975	2806	1948	1276	1526	2653	2733	2000	3178	3395	1651	1645	1906	1329	723	610	4231	3257	2966
EQU24_RS00480	834	265	595	1372	261	345	310	2114	1946	617	1026	7552	5624	5725	5003	962	1028	882	1041	710	1044	1167	644	7721	7267	3176	2024	1250	2099	3349	3202	1489	3137	3043	1245	1698	2291	1782	910	915	4147	3292	3077
EQU24_RS00485	516	340	513	484	216	1346	773	1070	790	518	1736	4430	3000	3154	3004	1641	2035	1781	2125	907	1485	1772	1390	9642	9527	3056	2333	1244	2007	2696	2986	1549	3001	2831	1445	1772	1893	1895	1122	936	4288	2832	2521
EQU24_RS00490	354	159	234	243	137	791	408	679	614	272	910	4934	3468	3637	3229	1479	1829	1343	1829	810	1268	1269	1455	7351	6715	2593	2170	864	1782	2116	2975	1101	2777	2042	1237	1287	1476	1469	1228	686	4698	2773	2466
EQU24_RS00495	576	263	270	515	212	515	331	717	669	238	1053	4002	2843	3316	2706	975	1123	917	1066	560	857	991	826	3653	2461	1844	1460	1049	1277	1678	1362	1134	1700	2481	1686	1631	964	695	692	439	2898	2227	2019
EQU24_RS00500	1011	338	590	1632	319	906	678	2283	2179	691	2186	11391	8126	7927	7255	2719	3351	2735	3353	1535	2500	3351	2242	13367	13190	4650	3109	3056	3905	5845	5301	3109	5051	4731	2527	3243	2612	2936	1719	1948	7251	5567	5144
EQU24_RS00505	234	413	579	106	126	651	354	186	87	383	2037	6275	4173	4875	4366	1891	2449	1920	2951	858	1452	1801	1246	32521	25194	13219	10283	9241	11337	15338	14123	9336	14062	12729	6493	12428	6488	3135	2146	1479	22327	14510	12827
EQU24_RS00510	450	489	630	350	169	665	439	474	311	540	2479	6668	4617	4695	4464	1505	1766	1394	2048	636	1016	1249	953	34603	25046	19370	13378	13566	15648	22385	17712	12634	19512	12850	6552	11571	5574	4721	2843	1838	30248	21433	18997
EQU24_RS00515	1725	1043	1369	1385	619	1743	1307	1768	1256	1548	4293	14225	10323	11479	9901	3862	4359	3233	4306	2381	3319	3615	2772	23864	19511	13135	8016	7711	8556	12557	11373	9164	12816	13023	6274	8786	5481	10137	5498	7832	22625	17769	15424
EQU24_RS00520	1812	4939	5319	2614	2263	4452	2969	2302	1810	4506	15241	43567	30622	32473	27673	16313	18668	14500	18152	10238	15078	16984	12250	113666	92346	48631	35326	39498	62021	85608	60070	32642	63142	29623	29244	33527	19722	25541	16889	15354	110440	75390	67987
EQU24_RS00525	77	70	98	14	46	41	44	14	8	43	323	789	529	621	533	87	105	132	288	38	82	204	36	3348	3018	1051	759	1002	1084	1801	1483	987	1603	641	696	728	556	784	340	304	2292	1524	1524
EQU24_RS00530	1161	3865	4587	12655	2058	1782	1507	11063	8962	2407	11532	53570	37183	32696	28307	7998	11281	7657	13414	4142	6356	8209	7239	76192	68455	32881	24200	26960	35221	55561	45336	27503	46030	18020	21976	19177	12144	10498	6382	5331	73303	50382	45763
EQU24_RS00535	1293	6650	6749	13182	3845	2573	2024	11890	8427	3758	16951	32743	24674	21200	17922	8792	12328	8512	15645	4504	6895	9907	7357	97721	88077	40286	27303	27454	35221	57655	57259	33949	57866	20825	30910	18319	15164	15451	8255	8982	85800	64390	60612
EQU24_RS00540	852	951	1491	3047	679	669	473	3535	2472	1068	4085	10450	7549	7184	6179	2241	2636	1927	2631	1307	1827	2088	1796	29951	28626	12479	8482	7217	8044	11827	13293	8847	13108	6994	4983	4568	4428	6510	2699	2659	17179	13297	12481
EQU24_RS00545	744	106	169	354	48	138	130	403	226	121	622	1254	869	957	841	507	595	483	749	324	490	584	432	3652	2927	1612	1126	894	1248	1825	2102	1331	2326	1060	755	703	714	537	378	471	3679	2742	2377
EQU24_RS00550	876	208	276	710	138	408	341	1018	590	289	850	4553	2968	3218	2918	917	958	735	896	491	843	995	610	4669	4427	1988	1275	1197	1171	1846	1911	1651	2175	1624	1095	1214	1304	809	491	495	2990	2323	2152
EQU24_RS00555	483	153	224	335	94	923	748	499	335	355	1134	9585	5993	7321	6352	1403	1429	1437	1608	859	1272	1678	918	8322	8816	2676	2051	878	1760	2147	2603	1200	2757	2359	1358	1982	1752	1363	1245	1075	4468	2931	2657
EQU24_RS00560	1248	321	423	795	379	603	512	967	685	432	941	10772	7449	6827	5715	1856	2088	1641	2161	1104	1674	2227	1179	8305	7964	3305	2296	1623	2281	3472	3548	1833	3432	2713	2453	2269	1985	1724	987	951	5028	3527	3302
EQU24_RS00565	792	104	145	582	112	238	161	714	530	161	582	2513	1799	2154	1786	407	368	343	322	294	436	499	254	1718	1477	597	408	459	536	678	581	416	641	942	692	598	500	315	213	156	1056	810	774
EQU24_RS00570	1467	2007	2423	1240	1600	2803	2137	1402	1049	2182	7376	26211	19441	19018	16684	6503	6346	6060	6109	5505	7773	7600	3628	33853	24376	17305	11593	13978	16852	25128	16579	12284	18831	15528	16041	15873	8277	4910	3050	2992	32877	24905	22139
EQU24_RS00575	1590	702	816	2210	489	843	649	2241	1535	915	4020	5264	3913	3503	3016	1631	1762	1447	1827	932	1475	1733	850	17078	13892	8469	5284	8043	9938	15502	9242	6053	9522	5287	5088	6364	3056	2730	1310	1286	17034	13647	12193
EQU24_RS00580	465	224	313	410	166	331	334	451	359	347	956	8018	5404	4828	4309	514	619	425	630	302	437	612	330	5815	5251	2290	1349	1798	2704	3539	2537	1363	2575	1675	1102	1469	950	909	543	474	4114	2845	2819
EQU24_RS00585	1644	1318	1726	1643	550	1701	1168	1827	1259	1140	2997	34061	22412	21743	18713	3891	4973	3760	5332	1788	2964	3794	2857	28232	26684	11359	8008	4298	7743	10152	10495	4831	10705	8775	10459	8834	5555	3585	2745	2103	16502	10926	10239
EQU24_RS00590	594	28079	19491	5329	11001	14879	8420	5090	2333	20255	31117	145151	110820	99214	83806	52717	70316	47019	63688	29009	44783	52938	42071	144429	119063	48391	37337	15425	22444	32105	34429	18844	34614	53240	61208	27640	36940	8896	5983	4098	37613	29010	27951
EQU24_RS00595	861	11024	10934	2436	7069	10021	6136	2446	1439	12202	20396	64998	46142	48039	39389	26104	28934	22470	24301	17399	24743	24343	17830	55343	41953	22432	17375	10144	13546	17494	14877	10008	16572	25772	21620	15647	13445	6132	3954	1938	20097	15580	14999
EQU24_RS00600	432	229	278	19	124	202	118	38	17	152	364	974	697	893	648	514	557	414	447	322	442	446	336	1927	1486	1148	769	403	555	650	684	541	818	1135	1024	1262	623	251	228	189	1477	1185	1098
